hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC002553,Std,2012-07-09,2014-02-27,598,573.0,0
MAC002598,Std,2012-07-10,2014-02-27,597,577.0,0
MAC002601,Std,2012-07-10,2014-02-27,597,573.0,0
MAC002715,Std,2012-05-08,2014-02-27,658,633.0,0
MAC002803,Std,2012-05-10,2014-02-27,656,632.0,0
MAC002958,Std,2012-07-03,2014-02-27,604,582.0,0
MAC002960,Std,2012-07-05,2014-02-27,603,580.0,0
MAC003158,Std,2012-07-14,2014-02-27,594,573.0,0
MAC003431,Std,2012-10-01,2014-02-27,514,496.0,0
MAC003482,Std,2012-10-03,2014-02-27,513,492.0,0
MAC003565,Std,2012-10-09,2014-02-27,507,488.0,0
MAC003566,Std,2012-10-09,2014-02-27,506,487.0,0
MAC003612,Std,2012-10-11,2014-02-27,505,483.0,0
MAC003644,Std,2012-10-12,2014-02-27,504,480.0,0
MAC003707,Std,2012-10-17,2014-02-27,498,476.0,0
MAC003711,Std,2012-10-17,2014-02-27,490,468.0,0
MAC003904,Std,2012-10-26,2014-02-27,490,473.0,0
MAC004040,Std,2012-07-06,2014-02-27,602,578.0,0
MAC004085,Std,2012-05-18,2014-02-27,650,627.0,0
MAC004086,Std,2012-05-18,2014-02-27,648,626.0,0
MAC004127,Std,2012-05-19,2013-11-10,541,521.0,1
MAC004198,Std,2012-05-23,2013-09-13,479,459.0,1
MAC004281,Std,2012-05-24,2014-02-27,645,622.0,0
MAC004545,Std,2011-12-21,2014-02-27,800,772.0,0
MAC004546,Std,2011-12-21,2014-02-27,799,768.0,0
MAC004584,Std,2011-12-29,2014-02-27,792,762.0,0
MAC004628,Std,2012-07-11,2014-02-27,597,573.0,0
MAC004840,Std,2012-04-10,2014-02-27,689,664.0,0
MAC004877,Std,2012-01-05,2014-02-27,785,756.0,0
MAC004958,Std,2012-01-23,2014-02-27,767,730.0,0
MAC004982,Std,2012-01-25,2014-02-27,765,737.0,0
MAC004999,Std,2012-01-27,2014-02-27,763,733.0,0
MAC005334,Std,2012-02-20,2014-02-27,739,710.0,0
MAC005454,Std,2012-04-16,2013-05-15,395,380.0,1
MAC000259,ToU,2011-12-05,2014-02-27,813,784.0,0
