d,hhod,Std,ToU,signal,y,high,low
2013-03-20,27,0.23291311406125736,0.2170636363821739,normal,-0.07047491722923338,0.0,0.0
2013-03-20,28,0.23227936070585417,0.22451999992873012,normal,-0.033975998486969416,0.0,0.0
2013-03-20,29,0.2336578643418575,0.21230454500267198,normal,-0.09583615034565418,0.0,0.0
2013-03-20,30,0.23843873078785022,0.22017636357975953,normal,-0.07968350551842773,0.0,0.0
2013-03-20,31,0.2559036367749692,0.2343563635486432,normal,-0.08795807673106881,0.0,0.0
2013-03-20,32,0.2697848042116751,0.2552054541164332,normal,-0.05555569659782389,0.0,0.0
2013-03-20,33,0.2919337503827074,0.27213454533961007,normal,-0.07023029829571392,0.0,0.0
2013-03-20,34,0.31415937006205386,0.29863000009621665,normal,-0.050695055882392204,0.0,0.0
2013-03-20,35,0.34454412801327233,0.3344963639938611,normal,-0.029596165641589733,0.0,0.0
2013-03-20,36,0.38230785242534154,0.3539845462039706,normal,-0.07697292305801795,0.0,0.0
2013-03-20,37,0.3955283763585774,0.375895454817642,normal,-0.05091147366581983,0.0,0.0
2013-03-20,38,0.4029555241624249,0.36967090937732294,normal,-0.08621301823481808,0.0,0.0
2013-03-20,39,0.39211935094813466,0.3619554137139055,normal,-0.08004522245032875,0.0,0.0
2013-03-20,40,0.3822226081321131,0.35094181829544885,normal,-0.08538273279452657,0.0,0.0
2013-03-20,41,0.3705056751631666,0.34675818205387754,normal,-0.06624110687539575,0.0,0.0
2013-03-20,42,0.3516031971321518,0.32888818079161203,normal,-0.06678544188344526,0.0,0.0
2013-03-20,43,0.3372068567732362,0.3092872729492162,normal,-0.08642602943391564,0.0,0.0
2013-03-20,44,0.3143080847428396,0.29818909126143395,normal,-0.05264584677733186,0.0,0.0
2013-03-20,45,0.27860898772244447,0.26852181816801685,normal,-0.036877151016888376,0.0,0.0
2013-03-20,46,0.2418600883687492,0.22351363632954996,normal,-0.07888698687594964,0.0,0.0
2013-03-20,47,0.23955987951899918,0.18833636377006768,normal,-0.2405738713065395,0.0,0.0
2013-03-21,0,0.21271537784753378,0.15474114445709353,normal,-0.318201332794372,0.0,0.0
2013-03-21,1,0.19084576222282715,0.13753678472344674,normal,-0.32757416760182556,0.0,0.0
2013-03-21,2,0.172318897790871,0.12662670320660369,normal,-0.3081034038241779,0.0,0.0
2013-03-21,3,0.1629902735921544,0.12069482286069474,normal,-0.3004252932496072,0.0,0.0
2013-03-21,4,0.15214590105927372,0.11534786569540365,normal,-0.27688745425921435,0.0,0.0
